Start Date,End Date,Campaign Name,Ad Set Name,Ad Name,Placement,Impressions,Clicks,Amount Spent (USD),Page Likes,Website Actions (All),Video Views,Mobile App Installs
2015-04-21,2015-04-21,Campaign1,Ad set5,Lead_01,News Feed on Desktop Computers,1175,4,3.07,0,0,0,0
2015-04-20,2015-04-20,Campaign1,Ad set5,Lead_01,News Feed on Desktop Computers,1646,8,3.9,0,0,0,0
2015-04-20,2015-04-20,Campaign1,Ad set5,Lead_01,News Feed on Mobile Devices,10400,107,22.02,1,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set5,Lead_01,News Feed on Desktop Computers,525,4,1.12,0,0,0,0
2015-04-19,2015-04-19,Campaign1,Ad set5,Lead_01,News Feed on Mobile Devices,11092,123,24.8,2,2,0,0
2015-04-18,2015-04-18,Campaign1,Ad set5,Lead_01,News Feed on Mobile Devices,10776,114,24.94,3,1,0,0
2015-04-18,2015-04-18,Campaign1,Ad set5,Lead_01,News Feed on Desktop Computers,531,2,0.98,1,0,0,0
2015-04-17,2015-04-17,Campaign1,Ad set5,Lead_01,News Feed on Mobile Devices,6111,61,12.24,1,1,0,0
2015-04-17,2015-04-17,Campaign1,Ad set5,Lead_01,News Feed on Desktop Computers,1197,7,2.39,0,0,0,0
2015-04-19,2015-04-19,Campaign2,Ad set1,pagepost_01,News Feed on Desktop Computers,67,1,0.2,0,0,0,0
2015-04-19,2015-04-19,Campaign2,Ad set1,pagepost_01,News Feed on Mobile Devices,1930,143,10.44,2,0,0,0
2015-04-18,2015-04-18,Campaign2,Ad set1,pagepost_01,News Feed on Mobile Devices,1749,138,10.29,2,0,0,0
2015-04-18,2015-04-18,Campaign2,Ad set1,pagepost_01,News Feed on Desktop Computers,145,3,0.39,0,0,0,0
2015-04-17,2015-04-17,Campaign2,Ad set1,pagepost_01,News Feed on Desktop Computers,89,5,0.28,0,0,0,0
2015-04-17,2015-04-17,Campaign2,Ad set1,pagepost_01,News Feed on Mobile Devices,1619,142,10.4,1,0,0,0
2015-04-23,2015-04-23,Campaign2,Ad set1,pagepost_01,News Feed on Mobile Devices,1844,223,9.15,1,0,0,0
2015-04-23,2015-04-23,Campaign2,Ad set1,pagepost_01,News Feed on Desktop Computers,114,3,0.34,0,0,0,0
2015-04-22,2015-04-22,Campaign2,Ad set1,pagepost_01,News Feed on Mobile Devices,2376,320,9.94,1,0,0,0
2015-04-22,2015-04-22,Campaign2,Ad set1,pagepost_01,News Feed on Desktop Computers,343,19,0.74,0,0,0,0
2015-04-23,2015-04-23,Campaign3,Ad set1,pagepost_01,Audience Network on Third-party Mobile Apps,5819,18,2.4,0,0,0,0
2015-04-23,2015-04-23,Campaign3,Ad set1,pagepost_01,News Feed on Mobile Devices,1318,25,3.21,0,0,0,0
2015-04-23,2015-04-23,Campaign3,Ad set1,pagepost_01,News Feed on Desktop Computers,205,1,0.26,0,0,0,0
2015-04-23,2015-04-23,Campaign3,Ad set2,pagepost_01,News Feed on Desktop Computers,78,0,0,0,0,0,0
2015-04-23,2015-04-23,Campaign3,Ad set2,pagepost_01,News Feed on Mobile Devices,4167,82,6.89,0,0,0,0
2015-04-23,2015-04-23,Campaign3,Ad set2,pagepost_01,Audience Network on Third-party Mobile Apps,114,0,0,0,0,0,0
2015-04-23,2015-04-23,Campaign4,Ad set1,pagepost_01,News Feed on Mobile Devices,12073,338,36.14,1,0,0,0
2015-04-23,2015-04-23,Campaign4,Ad set1,pagepost_01,News Feed on Desktop Computers,145,2,0.16,0,0,0,0
2015-04-22,2015-04-22,Campaign4,Ad set1,pagepost_01,News Feed on Desktop Computers,252,1,0.14,0,0,0,0
2015-04-22,2015-04-22,Campaign4,Ad set1,pagepost_01,News Feed on Mobile Devices,12905,404,40.6,2,0,0,0
2015-04-21,2015-04-21,Campaign4,Ad set1,pagepost_01,News Feed on Desktop Computers,207,2,0.19,0,0,0,0
